EmployeeID,BenefitID,UsageFrequency,LastUsedDate,Age,Gender,Department,Tenure,BenefitType,BenefitSubType,BenefitCost,SatisfactionScore,Comments,age_group,tenure_group,subcat_401k Basic Matching,subcat_401k Catch-Up Contributions,subcat_401k High Contribution,subcat_401k Investment Fees,subcat_401k Maximum Matching,subcat_401k Standard Matching,subcat_After-School Care,subcat_Basic Coverage,subcat_Conference Attendance,subcat_Dependent Coverage,subcat_Family Membership,subcat_Graduate Degree,subcat_HDHP Individual,subcat_HMO Family,subcat_Healthcare FSA,subcat_Individual Courses,subcat_Monthly Communications,subcat_Monthly Internet Allowance,subcat_On-Site Infant Care,subcat_PPO Family,subcat_PPO Individual,subcat_Premium Discount Tier 1,subcat_Professional Certification,subcat_Supplemental High Amount,subcat_Supplemental Standard,subcat_Tier 1 Partners,subcat_Tier 2 Partners,subcat_Tier 3 Partners,subcat_Transit Subsidy,subcat_Undergraduate Degree,employee_segment,top1,top2,top3,bot1,bot2,bot3,seg_rec1,seg_rec2,seg_rec3,rec1,rec2,rec3
717,18,0,2023-09-16,54,Male,Marketing,7,Retirement Plan,401k Investment Fees,743.01,4,Good plan with decent returns.,Gen X,Mid (3-7 years),False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Undergraduate Degree,HMO Family,Monthly Internet Allowance
776,14,0,2024-02-18,25,Female,IT,4,Gym Membership,Tier 1 Partners,73.36,5,Fantastic benefit! I use it daily.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,401k Basic Matching,Monthly Communications,PPO Family
1459,24,8,2024-06-07,37,Male,Finance,12,Gym Membership,Tier 3 Partners,780.78,1,Membership is not very useful.,Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Family Membership,PPO Individual,Professional Certification
4045,12,0,2023-12-06,27,Male,IT,2,Tuition Reimbursement,Graduate Degree,824.53,5,Incredible support for education.,Millennials,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,Supplemental Standard,Conference Attendance,401k Basic Matching
2282,24,0,2024-03-03,41,Female,Finance,14,Gym Membership,Tier 3 Partners,780.78,1,Membership is not very useful.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Supplemental High Amount,Transit Subsidy,PPO Family
3449,29,0,2024-01-14,36,Female,HR,11,Childcare,After-School Care,475.0,4,Sufficient time off provided.,Millennials,Senior (8+ years),False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,Family Membership,Supplemental Standard,Individual Courses
1493,23,0,2024-06-07,57,Female,IT,11,Life Insurance,Supplemental High Amount,969.28,4,"Solid plan, happy with it.",Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Tier 2 Partners,Tier 3 Partners,401k Catch-Up Contributions
432,20,0,2024-04-28,25,Female,Sales,1,Tuition Reimbursement,Undergraduate Degree,489.96,2,Complicated reimbursement process.,Millennials,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Tier 1 Partners,Basic Coverage,Transit Subsidy
3853,20,2,2023-09-22,48,Male,Sales,9,Tuition Reimbursement,Undergraduate Degree,489.96,1,Not worth the hassle.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Individual Courses,HMO Family,Family Membership
2767,25,10,2023-12-24,34,Female,Finance,13,Life Insurance,Supplemental Standard,774.91,3,"Average, but necessary.",Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Family Membership,PPO Individual,Monthly Internet Allowance
2506,12,8,2023-09-13,33,Male,Marketing,14,Tuition Reimbursement,Graduate Degree,824.53,3,Helps but limited in scope.,Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,Individual Courses,HMO Family,401k Investment Fees
2274,30,5,2023-08-24,45,Female,HR,21,Tuition Reimbursement,Individual Courses,723.73,2,Complicated reimbursement process.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Tier 3 Partners,Supplemental Standard,After-School Care
1768,20,2,2024-04-12,51,Male,Sales,7,Tuition Reimbursement,Undergraduate Degree,489.96,3,Helps but limited in scope.,Gen X,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Conference Attendance,401k High Contribution,Professional Certification
1115,4,3,2023-12-12,40,Male,Sales,5,Retirement Plan,401k High Contribution,261.44,1,Unhappy with this benefit.,Gen X,Mid (3-7 years),False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Conference Attendance,Supplemental High Amount,Professional Certification
1515,24,0,2023-11-11,64,Male,HR,9,Gym Membership,Tier 3 Partners,780.78,1,Membership is not very useful.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Healthcare FSA,HMO Family,Transit Subsidy
2540,10,0,2024-04-19,22,Non-Binary,HR,2,Childcare,On-Site Infant Care,915.48,5,Very convenient and cost-effective.,Gen Z,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,Monthly Communications,Tier 2 Partners,PPO Family
3014,1,5,2024-01-02,34,Female,IT,6,Retirement Plan,401k Basic Matching,876.21,2,Returns are not as expected.,Millennials,Mid (3-7 years),True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,Monthly Communications,PPO Family,401k Catch-Up Contributions
2521,15,2,2024-05-12,65,Female,Finance,8,Tuition Reimbursement,Professional Certification,359.21,5,Incredible support for education.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,HMO Family,Tier 3 Partners
2756,14,10,2023-09-18,53,Male,HR,16,Gym Membership,Tier 1 Partners,73.36,5,Fantastic benefit! I use it daily.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Individual Courses,Supplemental Standard,After-School Care
1468,13,8,2023-10-15,27,Male,HR,6,Cell Phone Allowance,Monthly Communications,65.0,3,"Good, but sometimes difficult.",Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,Tier 3 Partners,HMO Family,Individual Courses
3469,20,0,2023-08-19,58,Female,Marketing,25,Tuition Reimbursement,Undergraduate Degree,489.96,2,Complicated reimbursement process.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Basic Coverage,PPO Individual,Monthly Internet Allowance
4239,18,4,2024-01-20,48,Female,Finance,4,Retirement Plan,401k Investment Fees,743.01,1,Unhappy with this benefit.,Gen X,Mid (3-7 years),False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,401k Maximum Matching,401k Standard Matching,HDHP Individual,Tier 3 Partners,401k High Contribution,Undergraduate Degree
2085,24,0,2023-12-13,39,Female,HR,7,Gym Membership,Tier 3 Partners,780.78,2,Not many locations available.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,HMO Family,Individual Courses,Monthly Internet Allowance
4285,26,4,2023-09-06,41,Female,Finance,19,Gym Membership,Family Membership,519.66,2,Not many locations available.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Supplemental High Amount,Transit Subsidy,PPO Family
4957,28,10,2023-10-15,48,Male,Finance,22,Life Insurance,Dependent Coverage,165.54,2,Coverage is minimal.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Supplemental High Amount,Transit Subsidy,PPO Family
183,28,8,2023-12-04,33,Male,Sales,4,Life Insurance,Dependent Coverage,165.54,1,Disappointing service.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,401k Maximum Matching,401k High Contribution,401k Basic Matching
3550,19,0,2023-08-08,30,Non-Binary,Sales,9,Gym Membership,Tier 2 Partners,343.73,3,"It's okay, I use it occasionally.",Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,401k High Contribution,Supplemental High Amount,401k Catch-Up Contributions
3671,4,1,2024-07-23,42,Male,IT,23,Retirement Plan,401k High Contribution,261.44,3,"Standard, nothing exceptional.",Gen X,Senior (8+ years),False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Undergraduate Degree,Conference Attendance,401k Standard Matching
3936,27,1,2024-02-25,40,Female,Sales,12,Retirement Plan,401k Maximum Matching,913.01,1,Unhappy with this benefit.,Gen X,Senior (8+ years),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Undergraduate Degree,Individual Courses,HMO Family
3541,24,1,2024-04-27,48,Male,Finance,13,Gym Membership,Tier 3 Partners,780.78,1,Membership is not very useful.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Supplemental High Amount,Transit Subsidy,PPO Family
2775,3,3,2024-03-03,40,Female,IT,20,Commuter Benefits,Transit Subsidy,325.0,4,Sufficient time off provided.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Undergraduate Degree,Conference Attendance,401k Standard Matching
1112,27,5,2023-10-29,59,Female,Sales,14,Retirement Plan,401k Maximum Matching,913.01,5,Top-notch retirement plan.,Boomers,Senior (8+ years),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Conference Attendance,HMO Family,HDHP Individual
2707,2,10,2024-05-08,53,Male,Marketing,4,Health Insurance,PPO Individual,706.93,5,Excellent coverage and affordable.,Gen X,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Undergraduate Degree,HMO Family,Monthly Internet Allowance
2003,25,5,2023-12-05,58,Female,Sales,9,Life Insurance,Supplemental Standard,774.91,3,"Average, but necessary.",Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Conference Attendance,HMO Family,HDHP Individual
2874,8,0,2024-05-30,25,Male,Sales,2,Wellness Programs,Premium Discount Tier 1,125.0,2,Could use more vacation time.,Millennials,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Tier 1 Partners,Basic Coverage,Transit Subsidy
3461,7,0,2023-08-06,40,Female,HR,20,Flexible Spending Account,Healthcare FSA,450.0,1,Barely any time off given.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Tier 3 Partners,Individual Courses,Supplemental Standard
2115,13,3,2024-03-29,54,Male,Finance,23,Cell Phone Allowance,Monthly Communications,65.0,4,"Very flexible, I appreciate it.",Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Transit Subsidy,PPO Family,Professional Certification
2294,28,1,2023-09-06,40,Male,IT,3,Life Insurance,Dependent Coverage,165.54,3,"Average, but necessary.",Gen X,Mid (3-7 years),False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,401k Maximum Matching,401k Standard Matching,HDHP Individual,Undergraduate Degree,401k High Contribution,401k Investment Fees
4541,30,8,2024-02-19,22,Female,Finance,2,Tuition Reimbursement,Individual Courses,723.73,1,Not worth the hassle.,Gen Z,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,PPO Individual,Family Membership,PPO Family
4062,25,8,2024-05-08,38,Non-Binary,IT,13,Life Insurance,Supplemental Standard,774.91,2,Coverage is minimal.,Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,After-School Care,Dependent Coverage,Premium Discount Tier 1
2173,28,0,2024-02-04,41,Female,Marketing,1,Life Insurance,Dependent Coverage,165.54,2,Coverage is minimal.,Gen X,New (0-2 years),False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,401k Maximum Matching,401k Investment Fees,Tier 3 Partners
3264,12,5,2024-07-04,54,Male,Finance,5,Tuition Reimbursement,Graduate Degree,824.53,4,Great for further studies.,Gen X,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,401k Maximum Matching,401k Standard Matching,HDHP Individual,Tier 3 Partners,401k High Contribution,Undergraduate Degree
1229,8,5,2023-09-20,62,Female,Marketing,10,Wellness Programs,Premium Discount Tier 1,125.0,2,Could use more vacation time.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Basic Coverage,Supplemental Standard,Monthly Internet Allowance
645,20,5,2024-05-12,27,Female,HR,6,Tuition Reimbursement,Undergraduate Degree,489.96,5,Incredible support for education.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,Tier 3 Partners,HMO Family,Individual Courses
762,17,4,2024-06-13,47,Male,Marketing,17,Retirement Plan,401k Catch-Up Contributions,509.65,5,Top-notch retirement plan.,Gen X,Senior (8+ years),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Tier 2 Partners,401k Maximum Matching
4316,21,4,2023-12-02,62,Male,Marketing,39,Life Insurance,Basic Coverage,163.92,5,Great peace of mind for my family.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,PPO Individual,Monthly Internet Allowance,401k Investment Fees
4383,14,0,2024-03-04,26,Female,Sales,8,Gym Membership,Tier 1 Partners,73.36,2,Not many locations available.,Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,401k High Contribution,Supplemental High Amount,401k Catch-Up Contributions
3730,10,8,2023-11-24,47,Female,Sales,4,Childcare,On-Site Infant Care,915.48,2,Limited availability.,Gen X,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Conference Attendance,401k High Contribution,Supplemental High Amount
4320,25,3,2023-09-07,45,Female,IT,8,Life Insurance,Supplemental Standard,774.91,4,"Solid plan, happy with it.",Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Undergraduate Degree,Conference Attendance,401k Standard Matching
475,26,4,2023-12-21,39,Male,HR,15,Gym Membership,Family Membership,519.66,5,Fantastic benefit! I use it daily.,Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,Individual Courses,401k High Contribution,Professional Certification
2419,3,10,2023-11-25,64,Female,HR,34,Commuter Benefits,Transit Subsidy,325.0,3,Average amount of vacation days.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Healthcare FSA,HMO Family,Monthly Internet Allowance
2423,24,2,2024-02-08,53,Male,Finance,25,Gym Membership,Tier 3 Partners,780.78,5,Fantastic benefit! I use it daily.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Supplemental High Amount,Transit Subsidy,PPO Family
1611,8,0,2023-08-28,52,Male,Marketing,9,Wellness Programs,Premium Discount Tier 1,125.0,5,"Generous vacation days, very happy.",Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Supplemental Standard,Tier 2 Partners,401k Maximum Matching
3613,18,0,2023-08-22,27,Female,Marketing,6,Retirement Plan,401k Investment Fees,743.01,4,Good plan with decent returns.,Millennials,Mid (3-7 years),False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Monthly Internet Allowance,Dependent Coverage,Tier 2 Partners
2503,11,10,2024-06-23,53,Male,Finance,12,Health Insurance,PPO Family,928.75,5,Excellent coverage and affordable.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Supplemental High Amount,Transit Subsidy,Professional Certification
